"%IncMSE","IncNodePurity","variable"
11.9823897214806,1286.24499053974,"crim"
2.76906456712261,55.23167968521,"zn"
6.7199707404196,557.943663084189,"indus"
1.71953505226924,85.2335299366092,"chas"
11.2402577650997,789.919804066601,"nox"
32.9851829196361,7108.52032653499,"rm"
9.95873551367135,526.899385148945,"age"
14.1785276799885,1268.02922602919,"dis"
4.93676836833082,146.130850023908,"rad"
9.22608082182839,448.266478034572,"tax"
11.1870837646337,725.649549042107,"ptratio"
30.8467558365031,6966.67822822183,"lstat"
