"var","rel.inf"
"lstat",37.1140525310333
"rm",31.4862598305441
"dis",11.021502417248
"crim",4.84943147960183
"age",3.98916304089217
"ptratio",2.88395234208806
"tax",2.86339742268446
"nox",2.47640521168043
"indus",1.29874740094182
"rad",0.973185297413732
"chas",0.78344171468071
"zn",0.260461311191373
