"tree_size","cross_validation_error","complexity_parameter"
8,5342.34417916857,-Inf
7,5985.08054561889,393.571753246753
6,5995.56753679975,517.918940766551
5,6645.00675588944,649.094359059545
4,6364.13098333632,726.878538051304
3,7445.66497122071,1316.36795454545
2,12119.7862631181,4164.36141160161
1,20729.5250078801,9558.58301523273
