"model","test_mse","test_rmse"
"Regression tree",23.5125319227038,4.84897225427242
"Pruned regression tree",27.8697352737121,5.27917941291183
"Bagging",14.6390731588049,3.8261041751114
"Random forest",12.8119664753001,3.57938073908044
"Boosting",14.5697203830365,3.81703030942073
"Boosting with shrinkage = 0.02",15.0284004626203,3.87664809630953
